"good.names","SporeName","SporeDim1_min","SporeDim1_max","SporeDim2_min","SporeDim2_max","Phylum","EquatorialAxis","PolarAxis","SporeVolume","Dimension_units","Volume_units","Source"
"Typhula ishikariensis idahoensis","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Typhula ishikariensis ishikariensis","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Ulocladium consortiale","conidia",16,34,10,15,"Ascomycota",12.5,25,2045.30771718085,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Umbelopsis angularis","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Umbelopsis isabellina","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Umbelopsis nana","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Umbelopsis ramanniana","conidia",2.5,5.5,1.5,3,"Ascomycota",2.25,4,10.6028752058656,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Umbelopsis vinacea","conidia",3,5,3,5,"Ascomycota",4,4,33.5103216382911,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Varicosporium elodae","conidia",60,120,3,3,"Ascomycota",3,90,424.115008234622,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Verticillium albo-atrum","conidia",3.5,10.5,2,5,"Ascomycota",3.5,7,44.8985950075541,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Verticillium dahliae","conidia",2.5,6,1.4,3.2,"Ascomycota",2.3,4.25,11.7718094723888,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Verticillium nubilum","conidia",4,10,2.5,3.5,"Ascomycota",3,7,32.9867228626928,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Volutella ciliata","conidia",4,6,1.5,2,"Ascomycota",1.75,5,8.01760625134895,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Wallemia sebi","conidia",2.5,3.5,2.5,3.5,"Ascomycota",3,3,14.1371669411541,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Wardomyces columbinus","conidia",6,7.5,2.5,4,"Ascomycota",3.25,6.75,37.330956453985,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Wardomyces simplex","conidia",6.5,8.5,3,5.5,"Ascomycota",4.25,7.5,70.931271631832,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
