"good.names","SporeName","SporeDim1_min","SporeDim1_max","SporeDim2_min","SporeDim2_max","Phylum","EquatorialAxis","PolarAxis","SporeVolume","Dimension_units","Volume_units","Source"
"Eupenicillium javanicum","conidia",2.3,3,1.5,2,"Ascomycota",1.75,2.65,4.24933131321494,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Eupenicillium lapidosum","conidia",2.2,3,1.7,2.2,"Ascomycota",1.95,2.6,5.17655929495258,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Eupenicillium shearii","conidia",2.2,3,2,2.5,"Ascomycota",2.25,2.6,6.89186888381261,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Eurotium amstelodami","conidia",4.5,5,3.5,4,"Ascomycota",3.75,4.75,34.9747619637926,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Eurotium chevalieri","conidia",NA,NA,NA,NA,"Ascomycota",NA,NA,NA,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Eurotium herbariorum","conidia",5,7.5,5,7.5,"Ascomycota",6.25,6.25,127.831732323803,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Exophiala jeanselmei","conidia",3.5,5,1.5,2.2,"Ascomycota",1.85,4.25,7.61607144031201,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium accuminatum","conidia",24,54,3,4.5,"Ascomycota",3.75,39,287.161203492192,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium aquaeductuum","conidia",14,35,2,3,"Ascomycota",2.5,24.5,80.1760625134895,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium avenaceum","sporodochial conidia",45,70,3,4.5,"Ascomycota",3.75,57.5,423.378697456437,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium avenaceum","conidia",16,31,3,4.5,"Ascomycota",3.75,23.5,173.0330328735,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
"Fusarium cf.eumartii","macroconidia",50,85,5,7,"Ascomycota",6,67.5,1272.34502470387,"Micrometers","Cubic micrometers","Domsch K, Gams W, Anderson T-H (2007) Compendium Soil Fungi"
